game_id,date,park,inning,half,outs,target_base,runner_id,runner_bats,pitcher_id,catcher_id,batter_id,count,score_bat,score_def,score_diff,on_1b,on_2b,on_3b,success
ANA202205090,2022/05/09,ANA01,2,0,0,3,margm001,R,syndn001,wallc001,arozr001,00,0,0,0,kierk001,margm001,,1
ANA202205090,2022/05/09,ANA01,2,0,0,2,kierk001,L,syndn001,wallc001,arozr001,00,0,0,0,kierk001,margm001,,1
ANA202205090,2022/05/09,ANA01,6,0,0,2,margm001,R,syndn001,wallc001,kierk001,11,1,3,-2,margm001,,,1
ANA202205100,2022/05/10,ANA01,2,1,1,3,velaa001,B,klubc001,zunim001,marsb002,10,3,0,3,,velaa001,,1
ANA202205110,2022/05/11,ANA01,3,1,2,2,mayfj001,R,mccls003,mejif001,marsb002,22,0,1,-1,mayfj001,,,1
ANA202205110,2022/05/11,ANA01,4,1,2,2,ohtas001,L,mccls003,mejif001,walsj001,10,0,1,-1,ohtas001,,,1
ANA202205110,2022/05/11,ANA01,8,0,0,2,wallt003,B,teper001,romia002,philb002,10,1,0,1,wallt003,,,1
ANA202205110,2022/05/11,ANA01,9,0,2,2,arozr001,R,igler001,wallc001,kierk001,01,2,2,0,arozr001,,,1
ANA202205110,2022/05/11,ANA01,10,0,1,3,brujv001,B,loupa001,wallc001,ramih004,01,3,2,1,,brujv001,,1
ANA202205200,2022/05/20,ANA01,1,0,2,2,brows003,L,silsc001,wallc001,laurr001,12,1,0,1,brows003,,,1
ANA202205200,2022/05/20,ANA01,1,1,2,2,ohtas001,L,blacp001,murps001,renda001,01,0,1,-1,ohtas001,,,1
ANA202205200,2022/05/20,ANA01,5,0,1,2,laurr001,R,barrk002,wallc001,murps001,22,3,2,1,laurr001,,,0
ANA202205220,2022/05/22,ANA01,7,1,2,2,rengl001,B,grimj002,murps001,marsb002,01,4,0,4,rengl001,,,1
ANA202205240,2022/05/24,ANA01,4,1,2,2,wadet002,L,dunnd001,heimj001,ohtas001,22,4,0,4,wadet002,,,1
ANA202205250,2022/05/25,ANA01,1,0,0,2,semim001,R,detmr001,suzuk001,seagc001,01,0,0,0,semim001,,,1
ANA202205250,2022/05/25,ANA01,1,1,0,2,ohtas001,L,ottog001,heimj001,troum001,22,0,1,-1,ohtas001,,,1
ANA202205250,2022/05/25,ANA01,4,0,1,2,heimj001,B,detmr001,suzuk001,calhk001,00,2,1,1,heimj001,,,1
ANA202205250,2022/05/25,ANA01,7,0,0,2,calhk001,L,mayem001,suzuk001,huffs001,22,4,1,3,calhk001,,,1
ANA202205250,2022/05/25,ANA01,7,0,2,2,seagc001,L,mayem001,suzuk001,garvm001,12,6,1,5,seagc001,,white006,1
ANA202205260,2022/05/26,ANA01,6,0,2,2,bichb001,R,ohtas001,stasm001,jansd001,10,5,2,3,bichb001,,,0
ANA202205270,2022/05/27,ANA01,2,1,1,2,velaa001,B,manoa001,kirka001,lagaj001,01,1,1,0,velaa001,,,1
ANA202205270,2022/05/27,ANA01,3,0,1,2,biggc002,L,silsc001,stasm001,sprig001,11,1,1,0,biggc002,,,1
ANA202205290,2022/05/29,ANA01,6,1,0,2,wadet002,L,strir001,kirka001,wardt002,10,8,6,2,wadet002,,,1
ANA202206060,2022/06/06,ANA01,5,0,2,2,arroc001,R,syndn001,stasm001,martj006,11,1,0,1,arroc001,,,1
ANA202206070,2022/06/07,ANA01,2,1,1,3,wadet002,L,whitg002,vazqc001,rengl001,12,3,3,0,velaa001,wadet002,,0
ANA202206070,2022/06/07,ANA01,6,0,2,2,dalbb001,R,orteo001,stasm001,herne001,12,4,5,-1,dalbb001,,,1
ANA202206080,2022/06/08,ANA01,8,0,2,2,stort001,R,wanta001,stasm001,plawk001,12,1,0,1,stort001,,,1
ANA202206090,2022/06/09,ANA01,8,0,1,2,arroc001,R,teper001,stasm001,martj006,00,1,5,-4,arroc001,,,1
ANA202206100,2022/06/10,ANA01,5,0,1,2,alonp001,R,wanta001,stasm001,escoe001,11,4,2,2,alonp001,,,1
ANA202206100,2022/06/10,ANA01,5,0,1,2,escoe001,B,wanta001,stasm001,mcnej002,32,4,2,2,escoe001,,alonp001,0
ANA202206120,2022/06/12,ANA01,7,0,0,3,nimmb001,L,loupa001,suzuk001,lindf001,11,2,1,1,marts002,nimmb001,,0
ANA202206200,2022/06/20,ANA01,4,0,1,2,dozih001,R,syndn001,suzuk001,isbek001,02,2,1,1,dozih001,,peres002,0
ANA202206200,2022/06/20,ANA01,5,0,1,2,lopen001,L,syndn001,suzuk001,merrw001,01,2,1,1,lopen001,,,1
ANA202206200,2022/06/20,ANA01,5,1,0,2,velaa001,B,bubik001,peres002,wardt002,00,1,2,-1,velaa001,,,1
ANA202206200,2022/06/20,ANA01,7,0,0,2,dozih001,R,syndn001,suzuk001,isbek001,12,2,2,0,dozih001,,,1
ANA202206200,2022/06/20,ANA01,8,0,0,2,benia002,L,syndn001,suzuk001,wittb002,01,3,2,1,benia002,,,1
ANA202206200,2022/06/20,ANA01,9,0,1,2,merrw001,R,barrj003,suzuk001,benia002,10,6,2,4,merrw001,,lopen001,1
ANA202206240,2022/06/24,ANA01,6,0,2,2,tramt001,L,brada001,stasm001,ralec001,01,4,1,3,tramt001,,,1
ANA202206250,2022/06/25,ANA01,6,0,1,2,moord002,R,brada001,suzuk001,crawj002,12,1,2,-1,moord002,,,1
ANA202206260,2022/06/26,ANA01,9,0,1,2,fraza001,L,orteo001,stasm001,ralec001,12,1,2,-1,fraza001,,,0
ANA202206270,2022/06/27,ANA01,4,0,0,2,andet001,R,syndn001,stasm001,vauga001,01,0,2,-2,andet001,,,1
ANA202206270,2022/06/27,ANA01,4,0,1,3,andet001,R,syndn001,stasm001,robel002,11,0,2,-2,,andet001,,1
ANA202206270,2022/06/27,ANA01,7,1,2,3,wardt002,R,loper003,zavas001,wadet002,00,4,3,1,ohtas001,wardt002,,1
ANA202206270,2022/06/27,ANA01,7,1,2,2,ohtas001,L,loper003,zavas001,wadet002,00,4,3,1,ohtas001,wardt002,,1
ANA202206290,2022/06/29,ANA01,5,1,1,2,wadet002,L,kopem001,mcgur002,wardt002,32,2,0,2,wadet002,,,1
ANA202207120,2022/07/12,ANA01,1,0,0,2,altuj001,R,syndn001,stasm001,diaza003,02,0,0,0,altuj001,,,1
ANA202207120,2022/07/12,ANA01,2,1,2,2,marsb002,L,garcl007,maldm001,stefm001,12,1,2,-1,marsb002,,,1
ANA202207120,2022/07/12,ANA01,4,0,1,2,matij001,L,syndn001,stasm001,meyej002,11,3,1,2,matij001,,,1
ANA202207130,2022/07/13,ANA01,1,0,1,2,altuj001,R,ohtas001,stasm001,tuckk001,02,0,0,0,altuj001,,,1
ANA202207130,2022/07/13,ANA01,4,0,1,2,tuckk001,L,ohtas001,stasm001,gurry001,01,0,3,-3,tuckk001,,,1
ANA202207130,2022/07/13,ANA01,5,1,2,2,adelj001,R,marts003,maldm001,stasm001,01,3,1,2,adelj001,,rengl001,1
ANA202207130,2022/07/13,ANA01,7,0,1,2,meyej002,R,quijj001,stasm001,lee-k002,22,1,7,-6,meyej002,,,0
ANA202207140,2022/07/14,ANA01,1,0,2,H,brega001,R,detmr001,stasm001,meyej002,11,2,0,2,diaza003,,brega001,0
ANA202207140,2022/07/14,ANA01,8,1,2,2,stefm001,R,montr004,maldm001,ohtas001,21,2,2,0,stefm001,,,1
ANA202207290,2022/07/29,ANA01,5,0,2,2,solan001,R,sandp002,suzuk001,durae002,12,0,0,0,solan001,,,0
ANA202207290,2022/07/29,ANA01,9,0,2,2,semim001,R,pegue001,suzuk001,tavel001,10,4,1,3,semim001,,durae002,1
ANA202207300,2022/07/30,ANA01,1,1,2,2,rengl001,B,ottog001,vilom001,walsj001,02,0,0,0,rengl001,,,1
ANA202207300,2022/07/30,ANA01,3,1,1,2,rengl001,B,ottog001,vilom001,walsj001,12,3,2,1,rengl001,,,1
ANA202207310,2022/07/31,ANA01,1,0,1,2,semim001,R,detmr001,stasm001,heimj001,00,0,0,0,semim001,,,1
ANA202207310,2022/07/31,ANA01,3,0,1,2,semim001,R,detmr001,stasm001,tavel001,00,1,2,-1,semim001,,,0
ANA202207310,2022/07/31,ANA01,3,1,1,2,ohtas001,L,dunnd001,heimj001,walsj001,22,2,1,1,ohtas001,,,0
ANA202208040,2022/08/04,ANA01,3,0,2,2,vogts001,L,toust001,suzuk001,bridj001,31,6,2,4,vogts001,,,1
ANA202208040,2022/08/04,ANA01,9,0,2,2,brows003,L,chavj001,suzuk001,bolts001,12,8,6,2,brows003,,,1
ANA202208130,2022/08/13,ANA01,5,0,2,2,buxtb001,R,detmr001,stasm001,polaj001,12,2,0,2,buxtb001,,sancg002,1
ANA202208130,2022/08/13,ANA01,6,0,1,2,arral001,L,hergj001,stasm001,cavej001,32,2,0,2,arral001,,,1
ANA202208130,2022/08/13,ANA01,10,0,2,2,gordn001,L,quijj001,suzuk001,keplm001,02,3,3,0,gordn001,,polaj001,1
ANA202208140,2022/08/14,ANA01,5,1,2,2,ohtas001,L,megit001,leons001,rengl001,10,3,2,1,ohtas001,,,0
ANA202208140,2022/08/14,ANA01,6,0,1,2,buxtb001,R,davit005,suzuk001,miraj002,11,2,3,-1,buxtb001,,,1
ANA202208150,2022/08/15,ANA01,9,0,1,3,haggs001,B,loupa001,stasm001,santc002,10,2,2,0,,haggs001,,1
ANA202208170,2022/08/17,ANA01,3,0,0,2,haggs001,B,toust001,suzuk001,fraza001,11,0,0,0,haggs001,,,1
ANA202208170,2022/08/17,ANA01,3,1,0,2,velaa001,B,kirbg001,ralec001,sierm002,22,0,4,-4,velaa001,,,1
ANA202208300,2022/08/30,ANA01,6,1,2,2,ohtas001,L,marir001,higak001,rengl001,12,3,7,-4,ohtas001,,,0
ANA202208310,2022/08/31,ANA01,9,0,0,2,judga001,R,hergj001,stasm001,stanm004,22,2,3,-1,judga001,,,1
ANA202209020,2022/09/02,ANA01,5,0,0,2,altuj001,R,detmr001,thaim001,penaj004,12,2,0,2,altuj001,,,1
ANA202209030,2022/09/03,ANA01,11,0,1,3,altuj001,R,hergj001,stasm001,brega001,01,1,1,0,,altuj001,,1
ANA202209030,2022/09/03,ANA01,11,0,2,2,tuckk001,L,hergj001,stasm001,vazqc001,00,1,1,0,tuckk001,,altuj001,1
ANA202209040,2022/09/04,ANA01,3,1,1,2,velaa001,B,urquj001,vazqc001,duffm002,10,0,5,-5,velaa001,,,1
ANA202209070,2022/09/07,ANA01,4,1,2,2,velaa001,B,hutcd001,haase001,fletd002,00,2,1,1,velaa001,,,1
ANA202209160,2022/09/16,ANA01,6,1,1,2,thaim001,L,festm001,casac001,stefm001,00,5,4,1,thaim001,,,1
ANA202209180,2022/09/18,ANA01,4,0,2,2,moord002,R,detmr001,thaim001,fraza001,11,1,3,-2,moord002,,,1
ANA202209180,2022/09/18,ANA01,8,1,1,2,wardt002,R,flexc001,ralec001,sierm002,12,5,1,4,wardt002,,,1
ANA202209190,2022/09/19,ANA01,5,0,2,2,moord002,R,suarj001,thaim001,haggs001,02,5,0,5,moord002,,,0
ANA202209270,2022/09/27,ANA01,7,1,2,2,wardt002,R,puk-a001,murps001,fordm002,12,3,3,0,wardt002,,,1
