game_id,date,park,inning,half,outs,target_base,runner_id,runner_bats,pitcher_id,catcher_id,batter_id,count,score_bat,score_def,score_diff,on_1b,on_2b,on_3b,success
HOU202110160,2021/10/16,HOU03,6,1,2,2,tuckk001,L,ottaa001,plawk001,gurry001,01,3,9,-6,tuckk001,,alvay001,1
BOS202110180,2021/10/18,BOS07,3,1,1,2,renfh001,R,garcy001,maldm001,vazqc001,00,6,0,6,renfh001,,,1
BOS202110190,2021/10/19,BOS07,3,1,1,2,verda001,L,javic001,maldm001,martj006,32,2,1,1,verda001,,,1
HOU202110220,2021/10/22,HOU03,7,0,1,2,verda001,L,gravk001,maldm001,shawt001,32,0,2,-2,verda001,,martj006,0
HOU202110220,2021/10/22,HOU03,8,1,2,2,gurry001,R,ottaa001,vazqc001,mccoc001,12,5,0,5,gurry001,,,1
TBA202110070,2021/10/07,STP01,1,0,1,2,schwk001,L,mccls003,zunim001,bogax001,02,0,0,0,schwk001,,,1
TBA202110070,2021/10/07,STP01,7,1,2,H,arozr001,R,taylj001,vazqc001,loweb001,12,4,0,4,,franw002,arozr001,1
BOS202110100,2021/10/10,BOS07,10,0,2,2,margm001,R,piven001,vazqc001,arozr001,01,4,4,0,margm001,,,0
BOS202110100,2021/10/10,BOS07,11,0,0,2,arozr001,R,piven001,vazqc001,kierk001,32,4,4,0,arozr001,,,1
HOU202110070,2021/10/07,HOU03,2,0,2,2,robel002,R,mccul002,maldm001,sheeg001,00,0,0,0,robel002,,,0
CHA202110100,2021/10/10,CHI12,2,0,1,2,meyej002,R,ceasd001,grany001,maldm001,02,3,1,2,meyej002,,,1
CHA202110120,2021/10/12,CHI12,3,0,2,2,altuj001,R,rodoc001,grany001,brega001,10,0,1,-1,altuj001,,,1
CHA202110120,2021/10/12,CHI12,4,0,0,2,tuckk001,L,kopem001,grany001,mccoc001,10,2,1,1,tuckk001,,,1
CHA202110120,2021/10/12,CHI12,4,0,0,3,tuckk001,L,kopem001,grany001,mccoc001,11,2,1,1,,tuckk001,,1
CHA202110120,2021/10/12,CHI12,8,0,1,2,branm003,L,kimbc001,grany001,brega001,22,7,1,6,branm003,,,1
ANA202104010,2021/04/01,ANA01,2,0,2,3,robel002,R,bundd001,stasm001,collz001,01,0,0,0,,robel002,,1
ANA202104010,2021/04/01,ANA01,7,0,1,2,madrn001,R,slega001,stasm001,andet001,01,3,2,1,madrn001,,,0
ANA202104030,2021/04/03,ANA01,5,1,2,2,ohtas001,L,lynnl001,collz001,renda001,11,2,2,0,ohtas001,,,1
ANA202104040,2021/04/04,ANA01,3,0,0,2,hamib001,B,ohtas001,stasm001,madrn001,20,0,2,-2,hamib001,,,1
ANA202104040,2021/04/04,ANA01,7,0,0,2,garcl004,B,slega001,stasm001,eatoa002,00,3,4,-1,garcl004,,,1
ANA202104060,2021/04/06,ANA01,1,1,1,2,ohtas001,L,greiz001,maldm001,troum001,12,0,0,0,ohtas001,,,1
ANA202104190,2021/04/19,ANA01,7,1,1,3,pujoa001,R,codyk001,trevj001,suzuk001,11,2,6,-4,iglej001,pujoa001,,1
ANA202104190,2021/04/19,ANA01,7,1,1,2,iglej001,R,codyk001,trevj001,suzuk001,11,2,6,-4,iglej001,pujoa001,,1
ANA202104200,2021/04/20,ANA01,2,0,1,2,garca005,R,ohtas001,suzuk001,holtb002,11,0,0,0,garca005,,,0
ANA202104210,2021/04/21,ANA01,2,0,1,2,garca005,R,quinj001,bemba001,culbc001,00,0,1,-1,garca005,,,0
ANA202105030,2021/05/03,ANA01,1,1,1,3,ohtas001,L,glast001,mejif001,troum001,00,0,0,0,,ohtas001,,0
ANA202105030,2021/05/03,ANA01,2,1,1,2,uptoj001,R,glast001,mejif001,pujoa001,22,0,0,0,uptoj001,,,1
ANA202105040,2021/05/04,ANA01,2,0,2,2,kierk001,L,cobba001,stasm001,adamw002,10,1,0,1,kierk001,,,1
ANA202105040,2021/05/04,ANA01,4,0,2,2,kierk001,L,cobba001,stasm001,adamw002,11,1,0,1,kierk001,,diazy001,1
ANA202105040,2021/05/04,ANA01,5,0,0,2,arozr001,R,cobba001,stasm001,meada001,11,1,0,1,arozr001,,,1
ANA202105050,2021/05/05,ANA01,7,0,2,2,wendj002,L,slega001,suzuk001,kierk001,00,3,1,2,wendj002,,,1
ANA202105060,2021/05/06,ANA01,3,0,2,2,philb002,L,heana001,suzuk001,meada001,11,0,0,0,philb002,,,1
ANA202105060,2021/05/06,ANA01,8,0,0,2,margm001,R,slega001,suzuk001,meada001,20,3,3,0,margm001,,,1
ANA202105060,2021/05/06,ANA01,8,0,0,3,margm001,R,slega001,suzuk001,diazy001,10,3,3,0,meada001,margm001,,1
ANA202105060,2021/05/06,ANA01,8,0,0,2,meada001,L,slega001,suzuk001,diazy001,10,3,3,0,meada001,margm001,,1
ANA202105070,2021/05/07,ANA01,4,1,1,2,iglej001,R,uriaj001,smitw003,rojaj002,00,4,1,3,iglej001,,,0
ANA202105070,2021/05/07,ANA01,5,1,2,2,troum001,R,uriaj001,smitw003,walsj001,11,5,1,4,troum001,,ohtas001,1
ANA202105080,2021/05/08,ANA01,9,0,2,2,taylc001,R,igler001,suzuk001,beatm001,01,14,11,3,taylc001,,neuss001,1
ANA202105090,2021/05/09,ANA01,3,1,1,2,gossp001,R,bauet001,smitw003,fletd002,00,0,1,-1,gossp001,,,0
ANA202105090,2021/05/09,ANA01,8,1,1,2,fletd002,R,jansk001,smitw003,troum001,11,2,1,1,fletd002,,,1
ANA202105090,2021/05/09,ANA01,8,1,2,2,walsj001,L,jansk001,smitw003,lagaj001,11,2,1,1,walsj001,fletd002,fletd002,1
ANA202105170,2021/05/17,ANA01,1,0,1,2,luplj001,R,sandp002,suzuk001,reyef001,00,1,0,1,luplj001,,,0
ANA202105180,2021/05/18,ANA01,6,1,1,2,uptoj001,R,plesz001,hedga001,gossp001,32,4,5,-1,uptoj001,,,0
ANA202105190,2021/05/19,ANA01,1,0,2,2,ramij003,B,ohtas001,suzuk001,reyef001,00,0,0,0,ramij003,,,1
ANA202105190,2021/05/19,ANA01,4,1,1,2,uptoj001,R,civaa001,hedga001,rojaj002,32,2,1,1,uptoj001,,,1
ANA202105190,2021/05/19,ANA01,6,0,1,3,ramij003,B,watst001,suzuk001,naylj001,10,2,2,0,,ramij003,,1
ANA202105190,2021/05/19,ANA01,6,1,0,2,ohtas001,L,civaa001,hedga001,renda001,01,2,3,-1,ohtas001,,,0
ANA202105190,2021/05/19,ANA01,9,0,2,2,rosaa003,R,slega001,suzuk001,hedga001,00,3,2,1,rosaa003,,,1
ANA202105220,2021/05/22,ANA01,1,1,2,2,iglej001,R,bassc001,garca006,walsj001,02,0,1,-1,iglej001,,,1
ANA202105230,2021/05/23,ANA01,7,0,1,2,kempt001,L,mayem001,suzuk001,lowrj001,12,4,2,2,kempt001,,,0
ANA202105260,2021/05/26,ANA01,1,1,2,2,rojaj002,L,dunnd001,heimj001,wardt002,10,2,0,2,rojaj002,,lagaj001,1
ANA202105260,2021/05/26,ANA01,2,1,1,2,fletd002,R,dunnd001,heimj001,ohtas001,32,5,0,5,fletd002,,,0
ANA202106030,2021/06/03,ANA01,5,0,1,3,seagk001,L,suarj001,stasm001,kelej001,00,4,2,2,,seagk001,,1
ANA202106030,2021/06/03,ANA01,6,0,1,2,fralj001,L,suarj001,stasm001,waltd002,01,4,2,2,fralj001,,,1
ANA202106060,2021/06/06,ANA01,1,1,1,2,ohtas001,L,gilbl002,murpt002,walsj001,11,1,1,0,ohtas001,,,1
ANA202106070,2021/06/07,ANA01,2,1,2,2,ohtas001,L,sante001,peres002,renda001,01,4,2,2,ohtas001,,,1
ANA202106170,2021/06/17,ANA01,7,0,1,3,goodn002,B,watst001,suzuk001,badda001,00,1,2,-1,,goodn002,,1
ANA202106180,2021/06/18,ANA01,2,1,2,2,wongk002,L,urenj001,haase001,rengl001,02,1,0,1,wongk002,,,0
ANA202106190,2021/06/19,ANA01,8,1,1,2,uptoj001,R,jimej003,rogej004,ohtas001,01,7,3,4,uptoj001,,fletd002,1
