game_id,date,park,inning,half,outs,target_base,runner_id,runner_bats,pitcher_id,pitcher_throws,catcher_id,batter_id,count,score_bat,score_def,score_diff,on_1b,on_2b,on_3b,success,double_steal
CHN202405230,2024/05/23,CHI11,8,0,1,2,albio001,B,hendk001,R,gomey001,ozunm001,00,2,0,2,albio001,,duvaa001,1,0
CHN202405310,2024/05/31,CHI11,5,1,2,2,bellc002,L,ashcg001,R,stept001,morec001,11,2,2,0,bellc002,,gomey001,1,0
CHN202405310,2024/05/31,CHI11,7,0,1,2,delae003,B,smyld001,L,gomey001,candj002,02,4,3,1,delae003,,,1,0
CHN202406010,2024/06/01,CHI11,2,0,2,2,fairs001,R,steej002,L,amaym001,delae003,01,4,0,4,fairs001,,,1,0
CHN202406010,2024/06/01,CHI11,5,0,1,2,friet001,L,steej002,L,amaym001,espis001,02,5,5,0,friet001,,,1,0
CHN202406010,2024/06/01,CHI11,6,1,2,2,crowp001,L,greeh001,R,maill001,amaym001,00,5,5,0,crowp001,,,1,0
CHN202406010,2024/06/01,CHI11,8,1,1,2,crowp001,L,simsl001,R,stept001,amaym001,12,7,5,2,crowp001,,,1,0
CHN202406040,2024/06/04,CHI11,9,0,1,2,colao001,L,nerih001,R,amaym001,julkc001,00,6,7,-1,colao001,,,1,0
CHN202406050,2024/06/05,CHI11,2,1,0,2,morec001,R,fedde001,R,lee-k002,happi001,01,0,1,-1,morec001,,,1,0
CHN202406050,2024/06/05,CHI11,7,1,2,2,happi001,B,brebj001,R,lee-k002,boted002,01,6,5,1,happi001,,morec001,1,0
CHN202406050,2024/06/05,CHI11,9,0,2,2,vauga001,R,nerih001,R,gomey001,colao001,00,6,6,0,vauga001,,,1,0
CHN202406140,2024/06/14,CHI11,7,0,2,2,herri001,R,littl001,L,amaym001,donob001,01,0,0,0,herri001,,,1,0
CHN202406140,2024/06/14,CHI11,8,1,0,2,buscm003,L,fernr001,R,pagep001,swand001,10,0,1,-1,buscm003,,,1,0
CHN202406150,2024/06/15,CHI11,4,1,2,3,hoern001,R,roycc001,R,pagep001,crowp001,02,2,1,1,,hoern001,,1,0
CHN202406150,2024/06/15,CHI11,4,1,2,2,crowp001,L,roycc001,R,pagep001,gomey001,01,2,1,1,crowp001,,hoern001,1,0
