date,inning,half,outs,base_code,score_diff,target,p_model,success,layer,break_even,decision,actual_value,min_n
2025/06/04,1,1,2,1__,-1,2,0.74890995,1,RE24,0.7143336095124673,GO,0.09218747726831977,
2025/06/04,1,0,2,_2_,3,3,0.7100207,1,RE24,0.9146524436294244,HOLD,0.030112566726497536,
2025/06/04,2,1,1,1_3,1,2,0.8994172,1,RE24,0.8400293466931978,GO,0.16170619369029726,
2025/06/04,4,1,2,_2_,3,3,0.8231407,1,RE24,0.9146524436294244,HOLD,0.030112566726497536,
2025/06/04,6,1,2,1__,1,2,0.72968566,1,RE24,0.7143336095124673,GO,0.09218747726831977,
2025/06/04,2,0,1,1__,2,2,0.7783071,1,RE24,0.737073953057131,GO,0.1520335778796702,
2025/06/04,2,0,1,_2_,2,3,0.7509048,0,RE24,0.6866960128608449,GO,-0.5782370352706265,
2025/06/04,5,1,2,1__,-5,2,0.8344712,1,RE24,0.7143336095124673,GO,0.09218747726831977,
2025/06/04,9,0,2,12_,-1,3,0.99650913,1,WP,1.0,HOLD,0.040109890109890106,56.0
2025/06/04,9,0,2,12_,-1,2,0.9959858,1,WP,1.0,HOLD,0.015384615384615385,39.0
2025/06/04,3,1,2,1__,5,2,0.90129775,1,RE24,0.7143336095124673,GO,0.09218747726831977,
2025/06/04,4,1,1,1__,5,2,0.8663509,1,RE24,0.737073953057131,GO,0.1520335778796702,
2025/06/04,9,1,1,1__,0,2,0.6208045,1,WP,0.7864665405665459,HOLD,0.0402352597750113,251.0
2025/06/04,4,0,1,1__,0,2,0.68445534,1,RE24,0.737073953057131,HOLD,0.1520335778796702,
2025/06/04,6,1,1,1__,0,2,0.69742936,0,RE24,0.737073953057131,HOLD,-0.4262034573909564,
2025/06/04,8,1,1,_2_,2,3,0.769876,1,WP,0.45060709082078715,GO,0.03943661971830981,21.0
2025/06/05,4,1,2,1__,6,2,0.81867296,1,RE24,0.7143336095124673,GO,0.09218747726831977,
2025/06/05,4,0,2,1_3,-3,2,0.9346975,0,RE24,0.900822946052356,GO,-0.5027718067654712,
2025/06/05,4,1,1,1__,3,2,0.72330445,0,RE24,0.737073953057131,HOLD,-0.4262034573909564,
2025/06/05,2,0,2,1__,0,2,0.74472684,1,RE24,0.7143336095124673,GO,0.09218747726831977,
2025/06/05,2,0,1,1__,1,2,0.79537165,1,RE24,0.737073953057131,GO,0.1520335778796702,
2025/06/05,4,0,1,1__,1,2,0.7775031,1,RE24,0.737073953057131,GO,0.1520335778796702,
2025/06/05,1,0,2,_2_,0,3,0.74736625,1,RE24,0.9146524436294244,HOLD,0.030112566726497536,
2025/06/05,1,0,2,1_3,0,2,0.8870281,1,RE24,0.900822946052356,HOLD,0.05535319323452881,
2025/06/05,6,1,1,1__,2,2,0.7670684,1,RE24,0.737073953057131,GO,0.1520335778796702,
2025/06/05,4,0,2,1_3,1,2,0.9212589,1,RE24,0.900822946052356,GO,0.05535319323452881,
2025/06/05,4,0,2,1__,3,2,0.76850194,1,RE24,0.7143336095124673,GO,0.09218747726831977,
2025/06/05,7,0,1,_2_,3,3,0.7542223,1,WP,0.58216404557868,GO,0.035626535626535616,22.0
2025/06/05,3,1,1,1__,-1,2,0.6839051,1,RE24,0.737073953057131,HOLD,0.1520335778796702,
2025/06/05,3,1,2,1_3,-1,2,0.93760526,1,RE24,0.900822946052356,GO,0.05535319323452881,
2025/06/05,6,1,1,1__,1,2,0.7316002,1,RE24,0.737073953057131,HOLD,0.1520335778796702,
2025/06/05,5,0,1,1__,2,2,0.7378819,1,RE24,0.737073953057131,GO,0.1520335778796702,
2025/06/05,2,1,2,1__,-1,2,0.81632525,1,RE24,0.7143336095124673,GO,0.09218747726831977,
2025/06/05,5,0,0,1__,1,2,0.7939181,1,RE24,0.7314008155412673,GO,0.23021398310671604,
2025/06/05,9,0,1,1__,2,2,0.7814238,1,WP,1.0,HOLD,-0.005869946382740854,118.0
2025/06/05,1,0,1,1__,0,2,0.7123836,0,RE24,0.737073953057131,HOLD,-0.4262034573909564,
2025/06/05,4,0,0,1__,0,2,0.7204891,0,RE24,0.7314008155412673,HOLD,-0.6268771639517962,
2025/06/05,8,0,0,1__,2,2,0.76441926,1,WP,0.41117358413412364,GO,0.04547184170471841,54.0
2025/06/05,3,1,1,1_3,6,2,0.8887178,1,RE24,0.8400293466931978,GO,0.16170619369029726,
2025/06/05,7,0,2,1__,5,2,0.8794863,1,RE24,0.7143336095124673,GO,0.09218747726831977,
2025/06/05,9,0,2,1_3,5,2,0.9710264,1,RE24,0.900822946052356,GO,0.05535319323452881,
2025/06/06,1,1,1,1__,0,2,0.70110804,0,RE24,0.737073953057131,HOLD,-0.4262034573909564,
2025/06/06,3,0,2,1__,0,2,0.76154995,1,RE24,0.7143336095124673,GO,0.09218747726831977,
2025/06/06,3,1,2,1__,-1,2,0.81474763,1,RE24,0.7143336095124673,GO,0.09218747726831977,
2025/06/06,3,1,2,1__,0,2,0.7316274,1,RE24,0.7143336095124673,GO,0.09218747726831977,
2025/06/06,4,0,0,12_,0,3,0.8172733,1,RE24,0.7432033756394584,GO,0.33730305534338045,
2025/06/06,5,0,2,1_3,1,2,0.91262174,1,RE24,0.900822946052356,GO,0.05535319323452881,
2025/06/06,8,1,2,1__,1,2,0.7021927,1,WP,0.4542072804784659,GO,0.025302595954769913,138.0
2025/06/06,2,1,2,1_3,1,H,0.18382975,0,RE24,0.4085839049773361,HOLD,-0.5027718067654712,
2025/06/06,4,0,1,1__,1,2,0.65625936,0,RE24,0.737073953057131,HOLD,-0.4262034573909564,
2025/06/06,5,0,1,1__,1,2,0.7198188,0,RE24,0.737073953057131,HOLD,-0.4262034573909564,
2025/06/06,1,0,1,1__,0,2,0.67318666,1,RE24,0.737073953057131,HOLD,0.1520335778796702,
2025/06/06,4,1,1,1__,1,2,0.6274251,0,RE24,0.737073953057131,HOLD,-0.4262034573909564,
2025/06/06,3,1,1,1__,0,2,0.7818898,1,RE24,0.737073953057131,GO,0.1520335778796702,
2025/06/06,8,0,1,1__,-1,2,0.7393185,0,WP,0.6420388242837451,GO,-0.09656540807286518,105.0
2025/06/06,5,1,2,1_3,-1,2,0.8610775,1,RE24,0.900822946052356,HOLD,0.05535319323452881,
2025/06/06,7,1,2,1__,-1,2,0.845792,1,WP,0.22405219677551116,GO,0.007002489538640855,105.0
2025/06/06,7,0,2,1__,2,2,0.7229713,0,WP,0.12729721410762015,GO,-0.006823740483182128,125.0
2025/06/06,2,1,1,1__,5,2,0.77399004,1,RE24,0.737073953057131,GO,0.1520335778796702,
2025/06/06,2,1,2,1_3,6,2,0.9122289,1,RE24,0.900822946052356,GO,0.05535319323452881,
2025/06/06,6,1,1,1__,5,2,0.7758898,1,RE24,0.737073953057131,GO,0.1520335778796702,
2025/06/06,6,1,1,_2_,5,3,0.7299257,0,RE24,0.6866960128608449,GO,-0.5782370352706265,
2025/06/06,1,0,1,12_,0,3,0.995695,1,RE24,0.7292602919730533,GO,0.26300818541612947,
