base_state,0_out,1_out,2_out
___,0.515,0.274,0.104
1__,0.902,0.539,0.240
_2_,1.145,0.713,0.312
__3,1.455,0.978,0.365
12_,1.458,0.948,0.472
1_3,1.813,1.176,0.533
_23,1.890,1.350,0.536
123,2.226,1.596,0.769
