game_id,date,park,inning,half,outs,target_base,runner_id,runner_bats,pitcher_id,pitcher_throws,catcher_id,batter_id,count,score_bat,score_def,score_diff,on_1b,on_2b,on_3b,success,double_steal
HOU202310160,2023/10/16,HOU03,3,0,2,2,tavel001,B,montr004,R,maldm001,semim001,10,5,1,4,tavel001,,,1,0
TEX202310190,2023/10/19,ARL03,7,0,0,2,abrej003,R,smitw002,L,heimj001,tuckk001,12,7,3,4,abrej003,,,1,0
TEX202310200,2023/10/20,ARL03,8,1,2,2,tavel001,B,presr001,R,maldm001,lowen001,01,4,2,2,tavel001,,carte001,1,0
HOU202310220,2023/10/22,HOU03,1,1,0,2,altuj001,R,eovan001,R,heimj001,branm003,22,0,0,0,altuj001,,,1,0
HOU202310220,2023/10/22,HOU03,8,0,0,2,carte001,L,abreb002,R,maldm001,garca005,10,3,2,1,carte001,,,1,0
HOU202310230,2023/10/23,HOU03,1,0,1,2,carte001,L,javic001,R,maldm001,garca005,10,1,0,1,carte001,,,1,0
HOU202310230,2023/10/23,HOU03,1,0,1,2,garca005,R,javic001,R,maldm001,garvm001,00,2,0,2,garca005,,,1,0
HOU202310230,2023/10/23,HOU03,1,0,2,2,heimj001,B,matop002,R,maldm001,jungj001,12,3,0,3,heimj001,,garvm001,1,0
HOU202310230,2023/10/23,HOU03,2,1,1,2,mccoc001,R,schem001,R,heimj001,penaj004,12,1,3,-2,mccoc001,,,1,0
BAL202310070,2023/10/07,BAL12,9,1,0,2,hendg002,L,leclj001,R,heimj001,hicka001,21,2,3,-1,hendg002,,,0,0
HOU202310070,2023/10/07,HOU03,8,1,0,2,branm003,L,pagae001,R,jeffr002,mccoc001,01,6,4,2,branm003,,,1,0
MIN202310040,2023/10/04,MIN04,5,1,2,2,polaj001,B,garcy001,R,kirka001,lewir003,02,2,0,2,polaj001,,,1,0
TBA202310030,2023/10/03,STP01,2,0,2,2,tavel001,B,glast001,R,pintr003,carte001,10,1,0,1,tavel001,,,1,0
TBA202310030,2023/10/03,STP01,2,0,2,2,carte001,L,glast001,R,pintr003,semim001,01,1,0,1,carte001,tavel001,tavel001,1,0
TBA202310040,2023/10/04,STP01,4,0,2,2,tavel001,B,efliz001,R,pintr003,jungj001,22,1,0,1,tavel001,,,1,0
ANA202304070,2023/04/07,ANA01,4,0,2,H,chapm001,R,sandp002,L,ohopl001,luplj001,12,1,2,-1,espis001,,chapm001,0,0
ANA202304070,2023/04/07,ANA01,4,1,1,2,urshg001,R,bassc001,R,kirka001,ohopl001,22,2,1,1,urshg001,,,1,0
ANA202304080,2023/04/08,ANA01,7,0,1,2,bichb001,R,teper001,R,thaim001,chapm001,00,5,7,-2,bichb001,,,0,0
ANA202304080,2023/04/08,ANA01,8,1,2,2,rengl001,B,bassa001,R,kirka001,thaim001,12,9,5,4,rengl001,,,1,0
ANA202304090,2023/04/09,ANA01,7,0,1,3,chapm001,R,loupa001,L,ohopl001,biggc002,00,8,6,2,merrw001,chapm001,,1,1
ANA202304090,2023/04/09,ANA01,7,0,1,2,merrw001,R,loupa001,L,ohopl001,biggc002,00,8,6,2,merrw001,chapm001,,1,1
ANA202304100,2023/04/10,ANA01,5,0,2,2,abrac001,L,davit005,L,ohopl001,calla002,00,5,4,1,abrac001,,,1,0
ANA202304100,2023/04/10,ANA01,7,0,2,2,roblv001,R,davit005,L,ohopl001,abrac001,20,6,4,2,roblv001,,,1,0
ANA202304120,2023/04/12,ANA01,3,1,0,2,philb002,L,gorem001,L,ruizk001,wardt002,11,0,0,0,philb002,,,1,0
ANA202304120,2023/04/12,ANA01,3,1,1,3,philb002,L,gorem001,L,ruizk001,troum001,10,0,0,0,,philb002,,1,0
ANA202304230,2023/04/23,ANA01,2,0,1,2,massm001,L,detmr001,L,wallc001,duffm002,12,1,1,0,massm001,,,1,0
ANA202304240,2023/04/24,ANA01,1,1,2,2,ohtas001,L,waldk003,L,langs001,renda001,22,0,2,-2,ohtas001,,,0,0
ANA202304240,2023/04/24,ANA01,2,0,0,2,kempt001,L,suarj001,L,wallc001,ruize001,00,5,0,5,kempt001,,,0,0
ANA202304240,2023/04/24,ANA01,8,0,1,2,aguij001,R,wanta001,R,wallc001,diaza003,02,7,8,-1,aguij001,,,1,0
ANA202304250,2023/04/25,ANA01,1,1,2,2,rengl001,B,millm004,R,langs001,urshg001,12,3,1,2,rengl001,,,1,0
ANA202304250,2023/04/25,ANA01,5,1,2,2,ohtas001,L,lover001,L,langs001,renda001,22,4,2,2,ohtas001,,,1,0
ANA202304250,2023/04/25,ANA01,5,1,2,3,ohtas001,L,lover001,L,langs001,drurb001,12,4,2,2,renda001,ohtas001,,1,1
ANA202304250,2023/04/25,ANA01,5,1,2,2,renda001,R,lover001,L,langs001,drurb001,12,4,2,2,renda001,ohtas001,,1,1
ANA202304260,2023/04/26,ANA01,1,0,1,2,ruize001,R,sandp002,L,thaim001,rookb001,01,0,0,0,ruize001,,,1,0
ANA202304260,2023/04/26,ANA01,3,0,1,2,ruize001,R,sandp002,L,thaim001,diazj008,02,2,5,-3,ruize001,,,1,0
ANA202304260,2023/04/26,ANA01,3,0,2,3,ruize001,R,sandp002,L,thaim001,rookb001,10,2,5,-3,,ruize001,,1,0
ANA202304260,2023/04/26,ANA01,5,0,1,2,ruize001,R,sandp002,L,thaim001,diazj008,11,3,6,-3,ruize001,,capec001,1,0
ANA202304270,2023/04/27,ANA01,4,0,0,2,ruize001,R,ohtas001,R,wallc001,capec001,00,0,5,-5,ruize001,,,1,0
ANA202305050,2023/05/05,ANA01,2,0,2,2,heimj001,B,andet002,L,thaim001,thomb003,10,0,0,0,heimj001,,,1,0
ANA202305060,2023/05/06,ANA01,2,1,1,2,urshg001,R,eovan001,R,heimj001,wallc001,32,0,0,0,urshg001,,,0,0
ANA202305060,2023/05/06,ANA01,9,0,2,2,grosr001,B,davit005,L,wallc001,lowen001,11,4,0,4,grosr001,,,1,0
ANA202305070,2023/05/07,ANA01,6,0,0,2,garca005,R,silsc001,R,thaim001,jungj001,12,11,7,4,garca005,,,1,0
ANA202305070,2023/05/07,ANA01,7,0,0,3,tavel001,B,devec001,R,thaim001,semim001,10,11,7,4,smitj007,tavel001,,1,1
ANA202305070,2023/05/07,ANA01,7,0,0,2,smitj007,L,devec001,R,thaim001,semim001,10,11,7,4,smitj007,tavel001,,1,1
ANA202305080,2023/05/08,ANA01,1,1,2,2,wardt002,R,browh001,R,diazy004,renda001,11,0,0,0,wardt002,,,0,0
ANA202305090,2023/05/09,ANA01,2,0,2,2,julkc001,R,ohtas001,R,okeyc001,meyej002,01,0,0,0,julkc001,,,1,0
ANA202305090,2023/05/09,ANA01,4,0,2,2,penaj004,R,ohtas001,R,okeyc001,julkc001,31,0,1,-1,penaj004,,,0,0
ANA202305090,2023/05/09,ANA01,5,0,1,2,meyej002,R,ohtas001,R,okeyc001,maldm001,22,0,1,-1,meyej002,,,1,0
ANA202305190,2023/05/19,ANA01,4,1,1,2,rengl001,B,ryanj002,R,jeffr002,wallc001,12,2,0,2,rengl001,,drurb001,1,0
ANA202305210,2023/05/21,ANA01,5,1,1,2,netoz001,R,lopep002,R,jeffr002,troum001,11,1,1,0,netoz001,,,1,0
ANA202305210,2023/05/21,ANA01,8,1,1,2,urshg001,R,delej003,R,jeffr002,rengl001,10,3,2,1,urshg001,,,1,0
ANA202305240,2023/05/24,ANA01,2,0,1,H,dever001,L,andet002,L,wallc001,wongc001,22,0,0,0,reyep001,,dever001,0,0
ANA202305260,2023/05/26,ANA01,3,0,2,2,arral001,L,detmr001,L,wallc001,gurry001,20,2,0,2,arral001,,,0,0
ANA202305260,2023/05/26,ANA01,6,1,1,2,urshg001,R,hoeib001,R,fortn001,rengl001,10,2,3,-1,urshg001,,,1,0
ANA202305270,2023/05/27,ANA01,5,1,0,2,netoz001,R,cabre003,R,stalj001,monim001,02,1,2,-1,netoz001,,,1,0
ANA202305270,2023/05/27,ANA01,7,1,1,2,ohtas001,L,brazh001,R,stalj001,renfh001,21,3,4,-1,ohtas001,,,1,0
ANA202305280,2023/05/28,ANA01,9,0,1,2,fortn001,R,loupa001,L,thaim001,hampg001,12,2,0,2,fortn001,,,1,0
ANA202306070,2023/06/07,ANA01,5,1,2,2,ohtas001,L,tailj001,R,amaym001,troum001,00,2,2,0,ohtas001,,,1,0
ANA202306070,2023/06/07,ANA01,5,1,2,3,ohtas001,L,tailj001,R,amaym001,troum001,21,2,2,0,,ohtas001,,1,0
ANA202306070,2023/06/07,ANA01,6,1,2,2,rengl001,B,leitm002,R,amaym001,netoz001,01,3,2,1,rengl001,,drurb001,1,0
ANA202306080,2023/06/08,ANA01,5,0,2,2,taucm001,L,detmr001,L,wallc001,hoern001,00,1,2,-1,taucm001,,,1,0
ANA202306080,2023/06/08,ANA01,6,1,2,3,netoz001,R,smyld001,L,gomey001,ohtas001,00,2,1,1,wardt002,netoz001,,1,1
ANA202306080,2023/06/08,ANA01,6,1,2,2,wardt002,R,smyld001,L,gomey001,ohtas001,00,2,1,1,wardt002,netoz001,,1,1
ANA202306090,2023/06/09,ANA01,4,1,1,2,rengl001,B,castl003,R,ralec001,monim001,22,3,2,1,rengl001,,,0,0
ANA202306090,2023/06/09,ANA01,7,1,0,2,netoz001,R,brasm001,R,ralec001,wardt002,12,5,3,2,netoz001,,,1,0
ANA202306090,2023/06/09,ANA01,9,0,0,2,cabaj001,R,estec001,R,wallc001,crawj002,11,4,5,-1,cabaj001,,,1,0
ANA202306100,2023/06/10,ANA01,3,0,1,2,hernt002,R,sandp002,L,thaim001,kelej001,12,3,0,3,hernt002,,,0,0
ANA202306100,2023/06/10,ANA01,6,0,2,3,polla001,R,loupa001,L,thaim001,rodrj007,01,5,2,3,crawj002,polla001,,0,0
ANA202306200,2023/06/20,ANA01,3,1,2,2,velaa001,B,kersc001,L,smitw003,wardt002,20,0,0,0,velaa001,,,1,0
ANA202306200,2023/06/20,ANA01,4,0,1,2,freef001,L,detmr001,L,wallc001,martj006,01,0,0,0,freef001,,,1,0
ANA202306260,2023/06/26,ANA01,9,1,0,3,troum001,R,bumma001,L,grany001,drurb001,02,1,1,0,ohtas001,troum001,,1,1
ANA202306260,2023/06/26,ANA01,9,1,0,2,ohtas001,L,bumma001,L,grany001,drurb001,02,1,1,0,ohtas001,troum001,,1,1
ANA202306270,2023/06/27,ANA01,2,1,0,2,rengl001,B,kopem001,R,grany001,wallc001,01,1,0,1,rengl001,,,0,0
ANA202306270,2023/06/27,ANA01,2,1,1,2,wallc001,R,kopem001,R,grany001,fletd002,10,1,0,1,wallc001,,,0,0
ANA202306270,2023/06/27,ANA01,7,1,1,2,drurb001,R,santg001,R,zavas001,mousm001,20,3,1,2,drurb001,,,1,0
ANA202306280,2023/06/28,ANA01,9,0,0,2,remiz001,R,davit005,L,thaim001,zavas001,21,9,5,4,remiz001,,burgj001,1,0
ANA202306290,2023/06/29,ANA01,9,0,0,2,robel002,R,webbj002,R,thaim001,jimee001,10,7,5,2,robel002,,,1,0
ANA202306290,2023/06/29,ANA01,9,0,0,3,robel002,R,webbj002,R,thaim001,jimee001,11,7,5,2,,robel002,,1,0
ANA202307010,2023/07/01,ANA01,7,0,2,2,moreg001,R,devec001,R,thaim001,mccaj003,10,2,1,1,moreg001,,,1,0
ANA202307020,2023/07/02,ANA01,7,1,1,2,thaim001,L,gallz001,R,kellc002,escoe001,32,4,2,2,thaim001,,,1,0
ANA202307140,2023/07/14,ANA01,6,0,1,2,dubom001,R,webbj002,R,wallc001,brega001,11,6,4,2,dubom001,,,1,0
ANA202307140,2023/07/14,ANA01,8,1,2,2,cabbt001,L,abreb002,R,maldm001,netoz001,00,5,7,-2,cabbt001,,renfh001,1,0
ANA202307150,2023/07/15,ANA01,1,0,1,2,dubom001,R,detmr001,L,thaim001,tuckk001,01,0,0,0,dubom001,,,0,0
ANA202307160,2023/07/16,ANA01,8,1,2,2,velaa001,B,montr004,R,maldm001,rengl001,20,7,5,2,velaa001,,,1,0
ANA202307170,2023/07/17,ANA01,7,0,0,2,perao002,R,reyeg002,R,thaim001,stanm004,00,2,1,1,perao002,,,1,0
ANA202307180,2023/07/18,ANA01,5,1,2,2,monim001,L,germd001,R,higak001,mousm001,02,5,1,4,monim001,,,1,0
ANA202307210,2023/07/21,ANA01,8,1,2,2,velaa001,B,deloy001,R,rodre006,rengl001,01,8,5,3,velaa001,,,1,0
ANA202307220,2023/07/22,ANA01,2,1,2,2,wardt002,R,bidoo001,R,rodre006,renfh001,00,0,0,0,wardt002,,,1,0
ANA202308030,2023/08/03,ANA01,1,0,1,2,rodrj007,R,ohtas001,R,thaim001,ralec001,02,0,0,0,rodrj007,,crawj002,1,0
ANA202308030,2023/08/03,ANA01,2,0,2,2,marlc001,L,ohtas001,R,thaim001,rojaj001,22,0,0,0,marlc001,,,0,0
ANA202308030,2023/08/03,ANA01,6,1,2,2,ohtas001,L,woo-b001,R,ralec001,cronc002,01,0,1,-1,ohtas001,,,1,0
ANA202308040,2023/08/04,ANA01,2,0,0,2,cabaj001,R,detmr001,L,thaim001,crawj002,01,5,1,4,cabaj001,,,1,0
ANA202308050,2023/08/05,ANA01,1,0,2,2,rodrj007,R,andet002,L,wallc001,hernt002,01,0,0,0,rodrj007,,,0,0
ANA202308050,2023/08/05,ANA01,5,1,2,2,monim001,L,kirbg001,R,murpt002,gricr001,00,1,2,-1,monim001,,,1,0
ANA202308060,2023/08/06,ANA01,8,0,1,2,rodrj007,R,moorm003,L,thaim001,suare001,12,2,2,0,rodrj007,,,1,0
ANA202308070,2023/08/07,ANA01,1,1,2,2,ohtas001,L,webbl001,R,bailp001,mousm001,10,0,0,0,ohtas001,,,1,0
ANA202308080,2023/08/08,ANA01,8,1,2,2,ohtas001,L,jackl001,R,bailp001,drurb001,00,7,5,2,ohtas001,,monim001,1,0
ANA202308180,2023/08/18,ANA01,9,1,0,2,rengl001,B,fairp001,R,pintr003,gricr001,00,6,6,0,rengl001,,,1,0
ANA202308191,2023/08/19,ANA01,2,1,1,2,monim001,L,glast001,R,pintr003,rengl001,02,2,2,0,monim001,,,1,0
ANA202308191,2023/08/19,ANA01,6,1,2,2,velaa001,B,glast001,R,pintr003,schan001,02,7,6,1,velaa001,,,1,0
ANA202308220,2023/08/22,ANA01,1,0,1,2,delae003,B,gioll001,R,ohopl001,stees001,00,1,0,1,delae003,,,1,0
ANA202308220,2023/08/22,ANA01,2,0,1,2,bensw001,L,gioll001,R,ohopl001,stept001,10,1,0,1,bensw001,,,1,0
ANA202308220,2023/08/22,ANA01,6,0,1,2,martn004,R,gioll001,R,ohopl001,bensw001,22,4,3,1,martn004,,,1,0
ANA202308220,2023/08/22,ANA01,7,0,2,2,delae003,B,sorij002,R,ohopl001,stees001,11,4,3,1,delae003,,,0,0
ANA202308220,2023/08/22,ANA01,9,1,1,2,ohopl001,R,diaza004,R,stept001,gricr001,11,3,4,-1,ohopl001,,,0,0
ANA202308231,2023/08/23,ANA01,9,0,0,2,sianm001,L,rosek001,L,ohopl001,mclam001,12,8,4,4,sianm001,,,0,0
ANA202308231,2023/08/23,ANA01,9,0,1,2,mclam001,R,rosek001,L,ohopl001,delae003,01,8,4,4,mclam001,,,1,0
ANA202308232,2023/08/23,ANA01,3,0,2,2,delae003,B,detmr001,L,thaim001,stees001,10,0,1,-1,delae003,,,1,0
ANA202308232,2023/08/23,ANA01,4,0,1,2,bensw001,L,detmr001,L,thaim001,martn004,00,3,1,2,bensw001,,,1,0
ANA202308232,2023/08/23,ANA01,4,0,2,2,mclam001,R,detmr001,L,thaim001,delae003,21,4,1,3,mclam001,,,1,0
ANA202308232,2023/08/23,ANA01,5,0,2,2,friet001,L,detmr001,L,thaim001,stept001,20,4,1,3,friet001,,,1,0
ANA202309040,2023/09/04,ANA01,2,1,0,2,ohopl001,R,rodrg003,R,mccaj001,stefm001,21,0,0,0,ohopl001,,,0,0
ANA202309040,2023/09/04,ANA01,5,0,2,2,mounr001,R,rosek001,L,ohopl001,hicka001,00,3,2,1,mounr001,,,0,0
ANA202309050,2023/09/05,ANA01,3,0,1,2,matej003,R,detmr001,L,ohopl001,rutsa001,01,0,0,0,matej003,,,1,0
ANA202309060,2023/09/06,ANA01,3,0,0,2,matej003,R,sandp002,L,ohopl001,rutsa001,12,1,0,1,matej003,,,1,0
ANA202309070,2023/09/07,ANA01,1,0,1,2,kwans001,L,diazj007,L,wallc001,naylj001,21,0,0,0,kwans001,,,0,0
ANA202309070,2023/09/07,ANA01,1,0,2,2,naylj001,L,diazj007,L,wallc001,laurr001,01,0,0,0,naylj001,,,1,0
ANA202309070,2023/09/07,ANA01,3,1,1,2,parik002,R,quanc001,R,fry-d001,schan001,01,0,0,0,parik002,,,1,0
ANA202309070,2023/09/07,ANA01,5,1,1,2,parik002,R,quanc001,R,fry-d001,schan001,01,0,0,0,parik002,,,1,0
ANA202309070,2023/09/07,ANA01,6,0,2,2,gimea001,L,danid001,R,wallc001,ariag002,02,0,0,0,gimea001,,laurr001,1,0
ANA202309070,2023/09/07,ANA01,7,1,0,2,cabbt001,L,moorm003,L,fry-d001,wallc001,01,0,2,-2,cabbt001,,,1,0
ANA202309080,2023/09/08,ANA01,6,1,2,2,adamj003,R,hents001,L,naylb001,philb002,01,3,4,-1,adamj003,,,1,0
ANA202309080,2023/09/08,ANA01,8,0,1,2,ramij003,B,martj010,R,ohopl001,laurr001,00,5,3,2,ramij003,,kwans001,1,0
ANA202309100,2023/09/10,ANA01,1,0,2,2,ramij003,B,rosek001,L,wallc001,calhk001,10,0,0,0,ramij003,,,0,0
ANA202309100,2023/09/10,ANA01,5,0,2,3,kwans001,L,rosek001,L,wallc001,fry-d001,31,1,2,-1,ramij003,kwans001,,1,1
ANA202309100,2023/09/10,ANA01,5,0,2,2,ramij003,B,rosek001,L,wallc001,fry-d001,31,1,2,-1,ramij003,kwans001,,1,1
ANA202309100,2023/09/10,ANA01,8,1,1,2,adamj003,R,morge001,R,naylb001,philb002,10,2,1,1,adamj003,,,0,0
ANA202309160,2023/09/16,ANA01,1,0,1,2,ibana001,R,andet002,L,ohopl001,carpk001,12,0,0,0,ibana001,,vierm001,1,0
ANA202309160,2023/09/16,ANA01,9,0,1,2,shorz001,R,estec001,R,ohopl001,badda001,11,4,1,3,shorz001,,,1,0
ANA202309160,2023/09/16,ANA01,10,0,2,2,cabrm001,R,sorij002,R,ohopl001,kellc002,12,5,4,1,cabrm001,,,1,0
ANA202309250,2023/09/25,ANA01,5,1,1,2,stefm001,R,grayj003,R,heimj001,schan001,31,1,0,1,stefm001,,,0,0
ANA202309300,2023/09/30,ANA01,8,0,0,2,ruize001,R,joycb001,R,ohopl001,nodar001,00,1,3,-2,ruize001,,allen002,1,0
ANA202310010,2023/10/01,ANA01,3,0,2,3,ruize001,R,fulmc001,R,ohopl001,geloz001,01,0,1,-1,,ruize001,,1,0
ANA202310010,2023/10/01,ANA01,4,1,0,2,adelj001,R,searj001,L,sodet001,escoe001,11,3,0,3,adelj001,,ohopl001,1,0
ARI202304070,2023/04/07,PHO01,8,1,2,2,ahmen001,R,almoy001,R,barna001,moreg001,11,5,3,2,ahmen001,,,1,0
ARI202304080,2023/04/08,PHO01,3,1,1,2,carrc005,L,syndn001,R,smitw003,mccaj003,02,5,4,1,carrc005,,,1,0
ARI202304080,2023/04/08,PHO01,5,1,1,2,carrc005,L,vesia001,L,smitw003,moreg001,00,6,5,1,carrc005,,,1,0
ARI202304090,2023/04/09,PHO01,1,1,0,2,rojaj001,L,grovm001,R,barna001,perdg001,12,0,1,-1,rojaj001,,,1,0
ARI202304090,2023/04/09,PHO01,3,1,2,2,thoma004,L,grovm001,R,barna001,ahmen001,00,4,3,1,thoma004,,mccaj003,1,0
ARI202304090,2023/04/09,PHO01,3,1,2,2,ahmen001,R,grovm001,R,barna001,herrj003,00,6,3,3,ahmen001,,,1,0
ARI202304090,2023/04/09,PHO01,5,1,1,3,ahmen001,R,fergc001,L,barna001,perdg001,11,9,3,6,herrj003,ahmen001,,1,1
ARI202304090,2023/04/09,PHO01,5,1,1,2,herrj003,B,fergc001,L,barna001,perdg001,11,9,3,6,herrj003,ahmen001,,1,1
ARI202304100,2023/04/10,PHO01,5,0,2,2,turab002,L,gallz001,R,moreg001,wiemj001,11,0,1,-1,turab002,,,0,0
ARI202304110,2023/04/11,PHO01,3,0,0,2,wiemj001,R,kellm002,R,moreg001,brosm001,11,0,0,0,wiemj001,,,1,0
ARI202304110,2023/04/11,PHO01,3,0,0,3,wiemj001,R,kellm002,R,moreg001,brosm001,22,0,0,0,,wiemj001,,0,0
ARI202304200,2023/04/20,PHO01,9,0,0,2,grist001,L,ruizj001,R,moreg001,nolaa002,02,7,5,2,grist001,,,0,0
ARI202304220,2023/04/22,PHO01,1,1,2,2,walkc002,R,musgj001,R,nolaa002,smitp002,02,1,2,-1,walkc002,,carrc005,1,0
ARI202304230,2023/04/23,PHO01,6,1,1,2,carrc005,L,darvy001,R,nolaa002,longe001,01,1,5,-4,carrc005,,rojaj001,1,0
ARI202304240,2023/04/24,PHO01,5,0,0,2,wittb002,R,henrt001,L,moreg001,olive001,21,2,4,-2,wittb002,,,0,0
ARI202304240,2023/04/24,PHO01,6,1,2,H,mccaj003,L,hernc006,R,peres002,martk001,00,4,3,1,perdg001,,mccaj003,0,0
ARI202304250,2023/04/25,PHO01,2,0,1,3,isbek001,L,nelsr003,R,moreg001,lopen001,10,1,0,1,,isbek001,,0,0
