runner_id,pitcher_id,catcher_id,target_base,steal_of_second,inning,late_inning,outs,balls,strikes,score_diff,close_game,runner_bats_lhb,runner_prior_sr,runner_prior_att,pitcher_prior_sr_allowed,catcher_prior_cs_rate,success
rengl001,leitm002,amaym001,2,1,6,0,2,0,1,1,1,0,0.8438,3,0.75,0.1429,1
taucm001,detmr001,wallc001,2,1,5,0,2,0,0,-1,1,1,0.75,0,0.6786,0.3333,1
netoz001,smyld001,gomey001,3,0,6,0,2,0,0,1,1,0,0.8214,2,0.75,0.2,1
wardt002,smyld001,gomey001,2,1,6,0,2,0,0,1,1,0,0.625,1,0.7917,0.1667,1
rengl001,castl003,ralec001,2,1,4,0,1,2,2,1,1,0,0.8611,4,0.75,0.2,0
netoz001,brasm001,ralec001,2,1,7,1,0,1,2,2,0,0,0.8438,3,0.75,0.3333,1
cabaj001,estec001,wallc001,2,1,9,1,0,1,1,-1,1,0,0.75,0,0.75,0.3077,1
hernt002,sandp002,thaim001,2,1,3,0,1,1,2,3,0,0,0.75,0,0.775,0.1333,0
polla001,loupa001,thaim001,3,0,6,0,2,0,1,3,0,0,0.75,0,0.8438,0.1875,0
velaa001,kersc001,smitw003,2,1,3,0,2,2,0,0,1,0,0.75,0,0.75,0.2,1
freef001,detmr001,wallc001,2,1,4,0,1,0,1,0,1,1,0.75,0,0.7188,0.2857,1
troum001,bumma001,grany001,3,0,9,1,0,0,2,0,1,0,0.75,0,0.75,0.2,1
ohtas001,bumma001,grany001,2,1,9,1,0,0,2,0,1,1,0.7955,6,0.7917,0.1667,1
rengl001,kopem001,grany001,2,1,2,0,0,0,1,1,1,0,0.775,5,0.75,0.1429,0
wallc001,kopem001,grany001,2,1,2,0,1,1,0,1,1,0,0.75,0,0.625,0.25,0
drurb001,santg001,zavas001,2,1,7,1,1,2,0,2,0,0,0.75,0,0.75,0.2,1
remiz001,davit005,thaim001,2,1,9,1,0,2,1,4,0,0,0.75,0,0.8438,0.2353,1
robel002,webbj002,thaim001,2,1,9,1,0,1,0,2,0,0,0.75,0,0.75,0.2222,1
robel002,webbj002,thaim001,3,0,9,1,0,1,1,2,0,0,0.7917,1,0.7917,0.2105,1
moreg001,devec001,thaim001,2,1,7,1,2,1,0,1,1,0,0.75,0,0.8214,0.2,1
thaim001,gallz001,kellc002,2,1,7,1,1,3,2,2,0,1,0.75,0,0.75,0.2,1
dubom001,webbj002,wallc001,2,1,6,0,1,1,1,2,0,0,0.75,0,0.8214,0.2667,1
cabbt001,abreb002,maldm001,2,1,8,1,2,0,0,-2,0,1,0.75,0,0.7917,0.0909,1
dubom001,detmr001,thaim001,2,1,1,0,1,0,1,0,1,0,0.7917,1,0.75,0.1905,0
velaa001,montr004,maldm001,2,1,8,1,2,2,0,2,0,0,0.7917,1,0.7917,0.0833,1
perao002,reyeg002,thaim001,2,1,7,1,0,0,0,1,1,0,0.75,0,0.75,0.2273,1
monim001,germd001,higak001,2,1,5,0,2,0,2,4,0,1,0.75,0,0.75,0.2,1
velaa001,deloy001,rodre006,2,1,8,1,2,0,1,3,0,0,0.8214,2,0.75,0.2,1
wardt002,bidoo001,rodre006,2,1,2,0,2,0,0,0,1,0,0.6786,2,0.75,0.1667,1
rodrj007,ohtas001,thaim001,2,1,1,0,1,0,2,0,1,0,0.75,0,0.75,0.2174,1
marlc001,ohtas001,thaim001,2,1,2,0,2,2,2,0,1,1,0.75,0,0.775,0.2083,0
ohtas001,woo-b001,ralec001,2,1,6,0,2,0,1,-1,1,1,0.8125,7,0.75,0.2857,1
cabaj001,detmr001,thaim001,2,1,2,0,0,0,1,4,0,0,0.7917,1,0.675,0.24,1
rodrj007,andet002,wallc001,2,1,1,0,2,0,1,0,1,0,0.7917,1,0.6786,0.25,0
monim001,kirbg001,murpt002,2,1,5,0,2,0,0,-1,1,1,0.7917,1,0.75,0.2,1
rodrj007,moorm003,thaim001,2,1,8,1,1,1,2,0,1,0,0.6786,2,0.75,0.2308,1
ohtas001,webbl001,bailp001,2,1,1,0,2,1,0,0,1,1,0.8269,8,0.75,0.2,1
ohtas001,jackl001,bailp001,2,1,8,1,2,0,0,2,0,1,0.8393,9,0.75,0.1667,1
rengl001,fairp001,pintr003,2,1,9,1,0,0,0,0,1,0,0.7045,6,0.75,0.125,1
monim001,glast001,pintr003,2,1,2,0,1,0,2,0,1,1,0.8214,2,0.8214,0.1111,1
velaa001,glast001,pintr003,2,1,6,0,2,0,2,1,1,0,0.8438,3,0.8438,0.1,1
delae003,gioll001,ohopl001,2,1,1,0,1,0,0,1,1,0,0.75,0,0.75,0.2,1
bensw001,gioll001,ohopl001,2,1,2,0,1,1,0,1,1,1,0.75,0,0.7917,0.1818,1
martn004,gioll001,ohopl001,2,1,6,0,1,2,2,1,1,0,0.75,0,0.8214,0.1667,1
delae003,sorij002,ohopl001,2,1,7,1,2,1,1,1,1,0,0.7917,1,0.75,0.1538,0
ohopl001,diaza004,stept001,2,1,9,1,1,1,1,-1,1,0,0.75,0,0.75,0.2,0
sianm001,rosek001,ohopl001,2,1,9,1,0,1,2,4,0,1,0.75,0,0.75,0.2143,0
mclam001,rosek001,ohopl001,2,1,9,1,1,0,1,4,0,0,0.75,0,0.625,0.2667,1
delae003,detmr001,thaim001,2,1,3,0,2,1,0,-1,1,0,0.6786,2,0.7045,0.2222,1
bensw001,detmr001,thaim001,2,1,4,0,1,0,0,2,0,1,0.7917,1,0.7292,0.2143,1
mclam001,detmr001,thaim001,2,1,4,0,2,2,1,3,0,0,0.7917,1,0.75,0.2069,1
friet001,detmr001,thaim001,2,1,5,0,2,2,0,3,0,1,0.75,0,0.7679,0.2,1
ohopl001,rodrg003,mccaj001,2,1,2,0,0,2,1,0,1,0,0.625,1,0.75,0.2,0
mounr001,rosek001,ohopl001,2,1,5,0,2,0,0,1,1,0,0.75,0,0.6786,0.25,0
matej003,detmr001,ohopl001,2,1,3,0,1,0,1,0,1,0,0.75,0,0.7833,0.2941,1
matej003,sandp002,ohopl001,2,1,3,0,0,1,2,1,1,0,0.7917,1,0.7045,0.2778,1
kwans001,diazj007,wallc001,2,1,1,0,1,2,1,0,1,1,0.75,0,0.75,0.2941,0
naylj001,diazj007,wallc001,2,1,1,0,2,0,1,0,1,1,0.75,0,0.625,0.3333,1
parik002,quanc001,fry-d001,2,1,3,0,1,0,1,0,1,0,0.75,0,0.75,0.2,1
parik002,quanc001,fry-d001,2,1,5,0,1,0,1,0,1,0,0.7917,1,0.7917,0.1667,1
gimea001,danid001,wallc001,2,1,6,0,2,0,2,0,1,1,0.75,0,0.75,0.3158,1
cabbt001,moorm003,fry-d001,2,1,7,1,0,0,1,-2,0,1,0.7917,1,0.7917,0.1429,1
adamj003,hents001,naylb001,2,1,6,0,2,0,1,-1,1,0,0.75,0,0.75,0.2,1
ramij003,martj010,ohopl001,2,1,8,1,1,0,0,2,0,0,0.75,0,0.75,0.2632,1
ramij003,rosek001,wallc001,2,1,1,0,2,1,0,0,1,0,0.7917,1,0.5938,0.3,0
kwans001,rosek001,wallc001,3,0,5,0,2,3,1,-1,1,1,0.625,1,0.5278,0.3333,1
ramij003,rosek001,wallc001,2,1,5,0,2,3,1,-1,1,0,0.6786,2,0.575,0.3182,1
adamj003,morge001,naylb001,2,1,8,1,1,1,0,1,1,0,0.7917,1,0.75,0.1667,0
ibana001,andet002,ohopl001,2,1,1,0,1,1,2,0,1,0,0.75,0,0.5938,0.25,1
shorz001,estec001,ohopl001,2,1,9,1,1,1,1,3,0,0,0.75,0,0.7917,0.2381,1
cabrm001,sorij002,ohopl001,2,1,10,1,2,1,2,1,1,0,0.75,0,0.625,0.2273,1
stefm001,grayj003,heimj001,2,1,5,0,1,3,1,1,1,0,0.75,0,0.75,0.3,0
ruize001,joycb001,ohopl001,2,1,8,1,0,0,0,-2,0,0,0.875,5,0.75,0.2174,1
ruize001,fulmc001,ohopl001,3,0,3,0,2,0,1,-1,1,0,0.8864,6,0.75,0.2083,1
adelj001,searj001,sodet001,2,1,4,0,0,1,1,3,0,0,0.75,0,0.75,0.2,1
ahmen001,almoy001,barna001,2,1,8,1,2,1,1,2,0,0,0.75,0,0.75,0.2,1
carrc005,syndn001,smitw003,2,1,3,0,1,0,2,1,1,1,0.75,0,0.75,0.1667,1
carrc005,vesia001,smitw003,2,1,5,0,1,0,0,1,1,1,0.7917,1,0.75,0.1429,1
rojaj001,grovm001,barna001,2,1,1,0,0,1,2,-1,1,1,0.75,0,0.75,0.1667,1
thoma004,grovm001,barna001,2,1,3,0,2,0,0,1,1,1,0.75,0,0.7917,0.1429,1
ahmen001,grovm001,barna001,2,1,3,0,2,0,0,3,0,0,0.7917,1,0.8214,0.125,1
ahmen001,fergc001,barna001,3,0,5,0,1,1,1,6,0,0,0.8214,2,0.75,0.1111,1
herrj003,fergc001,barna001,2,1,5,0,1,1,1,6,0,0,0.75,0,0.7917,0.1,1
turab002,gallz001,moreg001,2,1,5,0,2,1,1,-1,1,1,0.75,0,0.7917,0.2,0
wiemj001,kellm002,moreg001,2,1,3,0,0,1,1,0,1,0,0.75,0,0.75,0.3333,1
wiemj001,kellm002,moreg001,3,0,3,0,0,2,2,0,1,0,0.7917,1,0.7917,0.2857,0
grist001,ruizj001,moreg001,2,1,9,1,0,0,2,2,0,1,0.75,0,0.75,0.375,0
walkc002,musgj001,nolaa002,2,1,1,0,2,0,2,-1,1,0,0.75,0,0.75,0.2,1
carrc005,darvy001,nolaa002,2,1,6,0,1,0,1,-4,0,1,0.8214,2,0.75,0.1667,1
wittb002,henrt001,moreg001,2,1,5,0,0,2,1,-2,0,0,0.75,0,0.75,0.4444,0
mccaj003,hernc006,peres002,H,0,6,0,2,0,0,1,1,1,0.75,0,0.75,0.2,0
isbek001,nelsr003,moreg001,3,0,2,0,1,1,0,1,1,1,0.75,0,0.75,0.5,0
carrc005,chapa001,peres002,3,0,8,1,1,1,0,-3,0,1,0.8438,3,0.75,0.3333,1
gurrl001,chapa001,peres002,2,1,8,1,1,1,0,-3,0,0,0.75,0,0.7917,0.2857,1
carrc005,barls001,peres002,2,1,9,1,2,0,1,-1,1,1,0.8611,4,0.75,0.25,1
carrc005,yarbr001,fermf002,2,1,2,0,1,0,1,0,1,1,0.875,5,0.75,0.2,0
abrac001,kellm002,moreg001,2,1,2,0,2,0,2,1,1,1,0.7917,1,0.6786,0.5455,1
perdg001,grayj004,ruizk001,3,0,4,0,2,2,1,2,0,0,0.75,0,0.75,0.1429,0
roblv001,henrt001,moreg001,2,1,3,0,0,0,1,-1,1,0,0.7917,1,0.625,0.5,0
garrs003,henrt001,moreg001,2,1,4,0,1,1,0,1,1,0,0.75,0,0.5357,0.5385,1
fletd003,willt002,ruizk001,2,1,2,0,1,3,2,0,1,1,0.75,0,0.75,0.25,0
perdg001,harrh001,ruizk001,2,1,6,0,1,1,1,4,0,0,0.625,1,0.75,0.3333,1
perdg001,harrh001,ruizk001,3,0,6,0,1,2,2,4,0,0,0.6786,2,0.7917,0.3,1
rojaj001,harrh001,ruizk001,2,1,6,0,1,2,2,4,0,1,0.7917,1,0.8214,0.2727,1
moreg001,garrb001,fortn001,2,1,5,0,2,2,1,0,1,0,0.7917,1,0.75,0.1667,1
chisj001,pfaab001,moreg001,2,1,1,0,0,0,0,0,1,1,0.75,0,0.75,0.5,1
chisj001,pfaab001,moreg001,2,1,5,0,0,1,0,3,0,1,0.7917,1,0.7917,0.4667,1
bertj001,mcgos001,moreg001,2,1,9,1,2,0,0,4,0,0,0.75,0,0.75,0.4375,0
perdg001,okers001,stalj001,2,1,4,0,1,1,2,0,1,0,0.7188,3,0.75,0.1429,1
estrt001,henrt001,moreg001,2,1,3,0,1,0,0,2,0,0,0.75,0,0.5938,0.4706,1
estrt001,henrt001,moreg001,3,0,3,0,2,0,0,2,0,0,0.7917,1,0.6389,0.4444,0
martk001,alexs001,bartj003,2,1,8,1,1,2,1,2,0,0,0.75,0,0.75,0.2,1
schmc003,gallz001,herrj003,2,1,5,0,0,3,2,1,1,0,0.75,0,0.6786,0.2,0
moreg001,webbl001,bartj003,2,1,7,1,2,0,1,0,1,0,0.8214,2,0.7917,0.1667,1
refsr001,frial001,herrj003,2,1,5,0,2,1,0,4,0,0,0.75,0,0.75,0.3333,1
mccaj003,salec001,wongc001,2,1,5,0,1,1,2,-4,0,1,0.625,1,0.75,0.2,1
verda001,daviz001,moreg001,H,0,1,0,2,2,2,0,1,1,0.75,0,0.75,0.4737,0
martk001,rodrj004,wongc001,2,1,5,0,1,2,0,4,0,0,0.7917,1,0.75,0.1667,1
rojaj001,kaufk001,diaze005,3,0,2,0,1,0,0,-2,0,1,0.8214,2,0.75,0.2,1
mccaj003,kaufk001,diaze005,2,1,2,0,1,0,0,-2,0,1,0.6786,2,0.7917,0.1667,1
moreg001,handb001,diaze005,3,0,8,1,1,1,2,2,0,0,0.8438,3,0.75,0.1429,1
mccaj003,handb001,diaze005,2,1,8,1,2,0,2,2,0,1,0.7188,3,0.7917,0.125,1
mccaj003,freek001,diaze005,2,1,2,0,2,1,0,3,0,1,0.75,4,0.75,0.1111,1
carrc005,freek001,diaze005,2,1,4,0,1,0,0,3,0,1,0.7955,6,0.7917,0.1,1
carrc005,freek001,diaze005,3,0,4,0,1,0,1,3,0,1,0.8125,7,0.8214,0.0909,1
mccaj003,freek001,diaze005,2,1,4,0,2,0,2,4,0,1,0.775,5,0.8438,0.0833,1
mccaj003,lamed001,wynna001,2,1,2,0,0,2,0,3,0,1,0.7955,6,0.75,0.2,1
martk001,lambp001,wynna001,2,1,6,0,1,1,2,6,0,0,0.8214,2,0.75,0.1667,1
doylb001,daviz001,herrj003,2,1,5,0,0,3,1,1,1,0,0.75,0,0.625,0.2857,1
acunr001,kellm002,moreg001,2,1,1,0,0,0,0,0,1,0,0.75,0,0.7188,0.5,0
perdg001,mortc002,murps001,2,1,3,0,0,0,1,1,1,0,0.75,4,0.75,0.2,0
acunr001,nelsr003,moreg001,3,0,3,0,1,1,1,0,1,0,0.625,1,0.625,0.5238,1
smitp002,stris002,murps001,2,1,3,0,2,0,1,-1,1,1,0.75,0,0.75,0.3333,0
albio001,gallz001,herrj003,2,1,2,0,0,0,2,0,1,0,0.75,0,0.5938,0.25,1
acunr001,chafa001,herrj003,2,1,7,1,1,2,2,-2,0,0,0.6786,2,0.75,0.2222,1
mccaj003,minta001,darnt001,2,1,8,1,1,1,2,1,1,1,0.8125,7,0.75,0.2,1
mccaj003,minta001,darnt001,3,0,8,1,1,2,2,1,1,1,0.8269,8,0.7917,0.1667,1
acunr001,castm002,moreg001,2,1,9,1,0,1,0,-1,1,0,0.7188,3,0.75,0.5,1
stotb001,castm002,kellc002,2,1,9,1,2,1,1,-1,1,1,0.75,0,0.7917,0.1667,1
turnt001,daviz001,kellc002,2,1,1,0,0,1,2,1,1,0,0.75,0,0.6786,0.1429,1
turnt001,daviz001,kellc002,2,1,2,0,2,1,1,4,0,0,0.7917,1,0.7188,0.125,1
harpb003,daviz001,kellc002,3,0,3,0,1,0,0,4,0,1,0.75,0,0.75,0.1111,1
realj001,daviz001,kellc002,2,1,3,0,1,0,0,4,0,0,0.75,0,0.775,0.1,1
sosae001,kellm002,kellc002,2,1,2,0,1,0,1,1,1,0,0.75,0,0.6389,0.0909,1
castn001,adama002,kellc002,2,1,8,1,2,0,1,3,0,0,0.75,0,0.75,0.0833,1
perdg001,kimbc001,realj001,3,0,9,1,2,1,1,0,1,0,0.675,5,0.75,0.2,1
mccaj003,nolaa001,stubg001,2,1,7,1,2,0,1,-1,1,1,0.8393,9,0.75,0.2,1
turnt001,castm002,moreg001,2,1,8,1,1,0,2,1,1,0,0.8214,2,0.8214,0.4783,1
mccaj003,toust001,gallc001,2,1,2,0,0,2,1,1,1,1,0.85,10,0.75,0.2,1
kwans001,henrt001,kellc002,2,1,4,0,2,1,2,2,0,1,0.6786,2,0.575,0.0769,1
naylj001,daviz001,moreg001,2,1,3,0,1,3,2,4,0,1,0.7917,1,0.7955,0.4583,1
mccaj003,armss001,bethc001,2,1,6,0,2,0,1,4,0,1,0.8594,11,0.75,0.2,1
carrc005,pochc001,mejif001,2,1,8,1,1,0,0,2,0,1,0.8269,8,0.75,0.2,1
franw002,pfaab001,moreg001,2,1,1,0,1,0,2,0,1,0,0.75,0,0.8214,0.44,0
lindf001,daviz001,kellc002,2,1,4,0,1,3,2,-1,1,0,0.75,0,0.8125,0.0714,1
thoma004,schem001,alvaf001,2,1,5,0,2,1,2,-1,1,1,0.7917,1,0.7917,0.2,1
lindf001,adama002,kellc002,3,0,8,1,1,0,1,2,0,0,0.7917,1,0.7917,0.0667,1
mcnej002,adama002,kellc002,2,1,8,1,1,0,1,2,0,1,0.75,0,0.8214,0.0625,1
marts002,ruizj001,kellc002,2,1,8,1,2,1,1,3,0,0,0.75,0,0.625,0.0588,1
phamt001,henrt001,kellc002,3,0,4,0,2,0,0,0,1,0,0.75,0,0.6136,0.0556,1
marts002,henrt001,kellc002,2,1,4,0,2,0,0,0,1,0,0.7917,1,0.6458,0.0526,1
walkc002,sengk001,alvaf001,2,1,4,0,2,0,1,0,1,0,0.7917,1,0.75,0.1667,1
mccaj003,sengk001,alvaf001,2,1,5,0,0,2,1,0,1,1,0.8676,12,0.7917,0.1429,1
mccaj003,hillr001,hedga001,2,1,3,0,0,2,0,0,1,1,0.875,13,0.75,0.2,1
mccaj003,hillr001,hedga001,2,1,4,0,0,1,0,4,0,1,0.8816,14,0.7917,0.1667,1
marct001,gallz001,moreg001,2,1,5,0,2,1,0,-4,0,1,0.75,0,0.6389,0.4615,1
ahmen001,ramiy002,hedga001,2,1,5,0,2,2,1,4,0,0,0.8438,3,0.75,0.1429,0
carrc005,ramiy002,hedga001,2,1,6,0,2,2,2,4,0,1,0.8393,9,0.625,0.25,1
carrc005,ramiy002,hedga001,3,0,6,0,2,0,0,4,0,1,0.85,10,0.6786,0.2222,1
gurrl001,ramiy002,hedga001,2,1,6,0,2,0,0,4,0,0,0.7917,1,0.7188,0.2,1
perdg001,holdc001,delaj004,2,1,8,1,2,0,2,0,1,0,0.7045,6,0.75,0.2,1
perdg001,mlodc001,hedga001,3,0,1,0,2,0,0,0,1,0,0.7292,7,0.75,0.1818,1
walkc002,mlodc001,hedga001,2,1,1,0,2,0,0,0,1,0,0.8214,2,0.7917,0.1667,1
davih001,chafa001,kellc002,2,1,8,1,2,0,0,1,1,0,0.75,0,0.7917,0.05,0
donob001,kellm002,kellc002,H,0,3,0,1,3,2,0,1,1,0.75,0,0.675,0.0952,1
goldp001,kellm002,kellc002,2,1,3,0,1,3,2,0,1,0,0.75,0,0.7045,0.0909,1
carrc005,flahj002,kniza001,2,1,1,0,1,2,2,0,1,1,0.8594,11,0.75,0.2,1
mccaj003,palla001,kniza001,2,1,6,0,0,0,0,0,1,1,0.8875,15,0.75,0.1667,1
rodrj007,henrt001,herrj003,2,1,1,0,0,1,0,0,1,0,0.7188,3,0.6731,0.2,1
cabaj001,adama002,herrj003,2,1,7,1,1,0,0,4,0,0,0.8214,2,0.8438,0.1818,1
carrc005,sewap001,ralec001,2,1,9,1,2,0,0,-3,0,1,0.8676,12,0.75,0.25,1
cabaj001,nelsk001,kellc002,2,1,7,1,0,1,1,0,1,0,0.8438,3,0.75,0.087,1
perdg001,topaj001,murpt002,2,1,7,1,2,1,0,0,1,0,0.75,8,0.75,0.1667,1
carrc005,munoa002,murpt002,3,0,8,1,0,0,1,0,1,1,0.875,13,0.75,0.1429,1
phamt001,uriaj001,smitw003,2,1,1,0,2,1,2,0,1,0,0.7917,1,0.75,0.125,0
mccaj003,brasr001,smitw003,2,1,7,1,2,1,2,-4,0,1,0.8929,16,0.75,0.2222,1
outmj002,castm002,kellc002,2,1,9,1,1,1,0,2,0,1,0.75,0,0.8438,0.0833,1
taylc001,ginkk001,herrj003,2,1,7,1,1,3,2,0,1,0,0.75,0,0.75,0.1667,0
perad001,castm002,herrj003,2,1,8,1,2,0,0,2,0,1,0.75,0,0.8611,0.2308,1
